id,h1,h2,init1,init2,dropout1,dropout2,optimizer,learning_rate,scores
0,16,48,he_uniform,he_uniform,0.2534012744917693,0.1437198448086658,sgd,0.01,0.7206
1,8,8,he_uniform,he_uniform,0.2607479505499891,0.3603889207435941,adam,0.01,0.574
2,8,16,he_uniform,he_uniform,0.10622673581271723,0.1482157055712825,sgd,0.005,0.6199
3,16,8,he_uniform,he_uniform,0.33993092933531976,0.30907331685994044,adam,0.01,0.6633
4,8,32,he_uniform,he_uniform,0.29832509562736514,0.2953753533525362,adam,0.005,0.5506
5,8,8,he_uniform,he_uniform,0.2454880013468944,0.24735265902933984,adam,0.01,0.6807
6,48,32,glorot_uniform,he_uniform,0.21988582876916365,0.3541939825822463,sgd,0.01,0.7116
7,8,8,he_uniform,he_uniform,0.2763476474875928,0.3440766497709793,adam,0.01,0.2747
8,8,16,glorot_uniform,he_uniform,0.14718932258878756,0.14998296109309714,sgd,0.01,0.6783
9,16,32,he_uniform,he_uniform,0.3447491682409637,0.32220904150543866,sgd,0.005,0.6124
10,8,8,he_uniform,he_uniform,0.14866703886063665,0.10164951998584308,adam,0.01,0.4607
11,8,48,he_uniform,he_uniform,0.15169792699250242,0.2464194139361868,sgd,0.005,0.5005
12,16,32,glorot_uniform,he_uniform,0.22818958587440466,0.29270911414893785,sgd,0.01,0.6692
13,32,16,he_uniform,he_uniform,0.18398230157956072,0.325991708343576,adam,0.01,0.8
14,16,32,glorot_uniform,he_uniform,0.11183857041084797,0.11838019722431398,sgd,0.01,0.7367
15,8,16,glorot_uniform,he_uniform,0.14551159188423865,0.2563737291494901,sgd,0.005,0.6129
16,16,16,glorot_uniform,he_uniform,0.17105383368850754,0.2884716607927998,adam,0.005,0.7852
17,16,8,he_uniform,he_uniform,0.1679272203530505,0.20982501001878628,sgd,0.005,0.6132
18,8,16,he_uniform,he_uniform,0.12094684768648213,0.13746056591409614,adam,0.01,0.609
19,16,48,he_uniform,he_uniform,0.21204587072292685,0.24131376447307926,adam,0.01,0.7169
20,16,32,he_uniform,he_uniform,0.1665976256923004,0.15959398132539548,sgd,0.01,0.7327
